what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976074825
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1302976074990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976075028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976077978
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1302976086576
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1302976087190
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1302976087259
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302976118302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976121737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976182187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976183564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976185313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976188490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976191154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976192238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976195762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976202052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302976208956
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1302976210426
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302976225020
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1302976226275
